Label,LabelName
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
0,Data Mining
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
2,Communication
